Frame,A_x,A_y,A_Diameter,B_x,B_y,B_Diameter,C_x,C_y,C_Diameter,D_x,D_y,D_Diameter
61,676.0,508.0,36.0,1278.0,446.0,32.0,988.0,326.0,22.0,854.0,352.0,24.0
62,732.0,482.0,36.0,1226.0,426.0,34.0,960.0,336.0,22.0,882.0,364.0,24.0
63,786.0,460.0,34.0,1176.0,410.0,32.0,930.0,346.0,24.0,912.0,376.0,24.0
64,834.0,440.0,32.0,1132.0,396.0,28.0,900.0,358.0,22.0,944.0,390.0,26.0
65,876.0,420.0,28.0,1092.0,382.0,26.0,864.0,368.0,26.0,978.0,404.0,26.0
66,914.0,404.0,26.0,1054.0,368.0,26.0,828.0,382.0,26.0,1018.0,420.0,30.0
67,950.0,388.0,26.0,1020.0,358.0,24.0,788.0,396.0,28.0,1060.0,436.0,32.0
68,980.0,376.0,26.0,988.0,346.0,24.0,742.0,410.0,32.0,1106.0,456.0,32.0
69,1010.0,362.0,24.0,960.0,336.0,22.0,692.0,426.0,32.0,1158.0,476.0,34.0
70,1036.0,350.0,24.0,932.0,328.0,20.0,638.0,444.0,32.0,1218.0,500.0,38.0
71,646.0,478.0,34.0,1256.0,470.0,36.0,1020.0,340.0,22.0,890.0,338.0,22.0
72,702.0,452.0,40.0,1198.0,452.0,32.0,992.0,350.0,24.0,918.0,350.0,24.0
73,752.0,436.0,32.0,1148.0,432.0,32.0,962.0,360.0,24.0,948.0,360.0,24.0
74,798.0,418.0,30.0,1102.0,414.0,28.0,930.0,372.0,26.0,980.0,372.0,26.0
75,840.0,402.0,28.0,1060.0,400.0,28.0,896.0,386.0,26.0,1014.0,386.0,26.0
76,878.0,386.0,26.0,1022.0,386.0,26.0,858.0,400.0,30.0,1052.0,400.0,28.0
77,912.0,372.0,24.0,988.0,372.0,26.0,816.0,414.0,28.0,1094.0,414.0,28.0
78,944.0,360.0,24.0,956.0,360.0,24.0,772.0,432.0,32.0,1140.0,430.0,32.0
79,974.0,348.0,24.0,926.0,350.0,24.0,720.0,450.0,34.0,1188.0,450.0,32.0
80,1000.0,338.0,22.0,900.0,338.0,22.0,664.0,470.0,40.0,1246.0,470.0,34.0
81,614.0,452.0,30.0,1228.0,502.0,38.0,1054.0,352.0,24.0,922.0,328.0,20.0
82,672.0,434.0,34.0,1168.0,476.0,38.0,1028.0,364.0,24.0,950.0,336.0,22.0
83,724.0,412.0,34.0,1116.0,456.0,32.0,998.0,376.0,26.0,980.0,346.0,24.0
84,768.0,398.0,28.0,1068.0,436.0,30.0,966.0,390.0,26.0,1010.0,356.0,24.0
